iter	RMSE
0	121.1579471
1	103.8943734
2	90.51777188
3	79.95860672
4	71.72256936
5	64.92326687
6	60.70290163
7	56.77410261
8	53.75454122
9	51.0930535
10	48.85989908
11	46.52548996
12	44.82694605
13	43.47147328
14	42.35517704
15	41.60007537
16	41.01374244
17	40.08016183
18	39.49390806
19	38.76112065
20	38.38892668
21	37.65731254
22	37.27157845
23	36.76372714
24	36.35931591
25	36.14176346
26	35.50819679
27	35.33099168
28	34.85275393
29	34.56735387
30	34.39342819
31	34.18462184
32	33.96548365
33	33.78058913
34	33.65653022
35	33.42198202
36	33.27109733
37	33.0923971
38	32.87594728
39	32.62752383
40	32.35734148
41	32.19256689
42	32.08246754
43	31.88548723
44	31.73865446
45	31.61015572
46	31.45920508
47	31.23840832
48	31.09317241
49	30.9664962
50	30.80537736
51	30.70884662
52	30.58090269
53	30.38928812
54	30.10286342
55	29.97052673
56	29.85734879
57	29.73477772
58	29.6024263
59	29.4539165
60	29.32105237
61	29.11182395
62	29.0183233
63	28.92769519
64	28.83288415
65	28.71752388
66	28.57112277
67	28.46946167
68	28.31566306
69	28.24573419
70	28.1573596
71	28.07134836
72	28.01428096
73	27.92733603
74	27.82050981
75	27.76102939
76	27.70481246
77	27.59650338
78	27.48593042
79	27.43756986
80	27.3761615
81	27.24525779
82	27.14207099
83	27.09147342
84	27.02759499
85	26.98963232
86	26.89949162
87	26.82831294
88	26.7699666
89	26.65537931
90	26.58455287
91	26.49974496
92	26.40750201
93	26.34788877
94	26.30679502
95	26.22807439
96	26.18312974
97	26.14364873
98	26.10598385
99	26.05617615
100	25.96351084
101	25.88855377
102	25.79597954
103	25.74761967
104	25.69973295
105	25.67211377
106	25.59333709
107	25.53084169
108	25.46269061
109	25.42125589
110	25.36049794
111	25.30964905
112	25.24602913
113	25.19864205
114	25.15544034
115	25.097031
116	25.03015766
117	24.96102683
118	24.92167129
119	24.85578677
120	24.80924032
121	24.77132373
122	24.69816587
123	24.65856087
124	24.62623796
125	24.58647073
126	24.53513138
127	24.48312499
128	24.42466744
129	24.39781357
130	24.33457294
131	24.28885518
132	24.23563525
133	24.19705474
134	24.13058684
135	24.1007519
136	24.04772263
137	24.00194008
138	23.97887117
139	23.93899337
140	23.89107996
141	23.85188985
142	23.80944448
143	23.76230319
144	23.73124537
145	23.67081851
146	23.63139927
147	23.55456793
148	23.52035426
149	23.48792719
150	23.4303916
151	23.38639843
152	23.36217085
153	23.28267177
154	23.23222216
155	23.18860771
156	23.14169176
157	23.10960027
158	23.06119915
159	23.02103891
160	23.00178184
161	22.969507
162	22.93313518
163	22.89596737
164	22.82601475
165	22.80158733
166	22.77259611
167	22.69756287
168	22.6696735
169	22.62989039
170	22.59737646
171	22.56173259
172	22.51198131
173	22.46824808
174	22.44001849
175	22.41408333
176	22.38956042
177	22.35842096
178	22.30764039
179	22.27048249
180	22.2510928
181	22.21752773
182	22.18762307
183	22.15456495
184	22.12346243
185	22.10847898
186	22.08812367
187	22.06047387
188	22.0256219
189	22.00778034
190	21.95806057
191	21.93905391
192	21.90595586
193	21.88475029
194	21.85643595
195	21.83755615
196	21.7871159
197	21.75383586
198	21.70283027
199	21.60880434
200	21.57819522
201	21.54191057
202	21.51196819
203	21.48853696
204	21.4640496
205	21.4412444
206	21.42372355
207	21.38105271
208	21.35895129
209	21.33336658
210	21.31018455
211	21.27939772
212	21.26107764
213	21.24104831
214	21.21014961
215	21.18018819
216	21.15712819
217	21.13063909
218	21.11346862
219	21.09317328
220	21.06240305
221	21.02563221
222	21.00829677
223	20.98524466
224	20.94930996
225	20.9204161
226	20.90101083
227	20.88629377
228	20.86006588
229	20.83609722
230	20.80747517
231	20.78767507
232	20.74976475
233	20.72370216
234	20.70815862
235	20.68364395
236	20.6502997
237	20.63369886
238	20.60660111
239	20.59306993
240	20.56432196
241	20.53904774
242	20.52772539
243	20.47871381
244	20.46121732
245	20.40454016
246	20.38033152
247	20.34779445
248	20.33364103
249	20.29218212
250	20.26940808
251	20.25383649
252	20.23003147
253	20.2144059
254	20.19816827
255	20.16393681
256	20.12950579
257	20.10406897
258	20.0718281
259	20.03516202
260	20.02329688
261	20.00299373
262	19.96567648
263	19.94441256
264	19.92404364
265	19.89244357
266	19.87492538
267	19.82988311
268	19.79603574
269	19.77871896
270	19.74397691
271	19.72680586
272	19.71052048
273	19.68559962
274	19.6623372
275	19.64131693
276	19.61553141
277	19.59147296
278	19.57652581
279	19.55138282
280	19.52901242
281	19.47969631
282	19.46030656
283	19.43262556
284	19.40743863
285	19.37223451
286	19.34280079
287	19.31348554
288	19.27403233
289	19.21924784
290	19.20143305
291	19.17691222
292	19.15809519
293	19.1380732
294	19.10544731
295	19.08967715
296	19.05778188
297	19.02671006
298	19.00112917
299	18.96810397
300	18.94843075
301	18.9206673
302	18.90159553
303	18.87956327
304	18.86533717
305	18.85447693
306	18.84293267
307	18.82142497
308	18.78974068
309	18.77091978
310	18.75490239
311	18.71563667
312	18.70107641
313	18.68914597
314	18.66780357
315	18.65477242
316	18.6300143
317	18.60822236
318	18.59648578
319	18.57650949
320	18.54990455
321	18.53558325
322	18.51777141
323	18.49029033
324	18.47831759
325	18.4588502
326	18.44070759
327	18.41082244
328	18.39114188
329	18.36460241
330	18.3446999
331	18.33592766
332	18.30530369
333	18.28854549
334	18.2682265
335	18.25974825
336	18.24705311
337	18.23128074
338	18.2041922
339	18.17679191
340	18.14627442
341	18.12930734
342	18.09820199
343	18.07222395
344	18.04784026
345	18.02814982
346	18.01532208
347	17.99662127
348	17.98376463
349	17.96754716
350	17.9474331
351	17.92203481
352	17.89882709
353	17.88714141
354	17.87857497
355	17.86552834
356	17.84956357
357	17.82758874
358	17.81185991
359	17.79374533
360	17.7783898
361	17.7609996
362	17.74510368
363	17.72218481
364	17.71314346
365	17.68928934
366	17.67499307
367	17.64114601
368	17.62064634
369	17.59478331
370	17.5779645
371	17.54786073
372	17.53244775
373	17.51294428
374	17.4911987
375	17.46696895
376	17.44462951
377	17.43739548
378	17.41835168
379	17.41188606
380	17.39292683
381	17.37891053
382	17.35452572
383	17.33965536
384	17.3205372
385	17.31053837
386	17.28782902
387	17.2738344
388	17.24972345
389	17.2410277
390	17.22512905
391	17.21027962
392	17.19523224
393	17.18490772
394	17.17223064
395	17.15582414
396	17.13915142
397	17.12512636
398	17.10049729
399	17.08959613
400	17.0773212
401	17.05487034
402	17.03541095
403	17.01599748
404	17.0055335
405	16.98602765
406	16.96881698
407	16.95247051
408	16.9309122
409	16.90713163
410	16.88783719
411	16.87400121
412	16.85505264
413	16.840875
414	16.81394418
415	16.80564633
416	16.79044126
417	16.76410564
418	16.73611254
419	16.72193744
420	16.70974731
421	16.69523091
422	16.69042724
423	16.6835218
424	16.68073676
425	16.66405339
426	16.64509862
427	16.63232593
428	16.60640625
429	16.59242681
430	16.58797871
431	16.56444511
432	16.54563868
433	16.52798775
434	16.5031279
435	16.48873146
436	16.46178864
437	16.44123763
438	16.42604416
439	16.40727483
440	16.39972341
441	16.37956383
442	16.36232285
443	16.34504464
444	16.33096178
445	16.3031942
446	16.27477348
447	16.2604835
448	16.24800367
449	16.23461104
450	16.2191942
451	16.21430837
452	16.20373482
453	16.18337128
454	16.16401199
455	16.1536357
456	16.13172082
457	16.12424548
458	16.10564443
459	16.08880647
460	16.07059754
461	16.05687709
462	16.03908443
463	16.02326834
464	16.01460585
465	15.99665308
466	15.97937652
467	15.96820585
468	15.94457629
469	15.92332257
470	15.91368265
471	15.89494669
472	15.87450067
473	15.86917267
474	15.855419
475	15.82792471
476	15.80597656
477	15.78692699
478	15.78403215
479	15.76574258
480	15.74852128
481	15.73203759
482	15.71891495
483	15.70705972
484	15.7058846
485	15.70210767
486	15.68792
487	15.68144458
488	15.66699321
489	15.65220195
490	15.63163118
491	15.61640778
492	15.60299209
493	15.58934892
494	15.58422732
495	15.57106475
496	15.55846926
497	15.54350175
498	15.53243235
499	15.51921279
