iter	Passed	Remaining
0	16	8389
1	28	6995
2	37	6248
3	46	5778
4	56	5609
5	65	5392
6	75	5294
7	83	5111
8	90	4939
9	100	4919
10	110	4917
11	120	4907
12	128	4802
13	134	4681
14	142	4622
15	150	4540
16	157	4467
17	164	4405
18	171	4346
19	179	4307
20	187	4281
21	195	4248
22	203	4219
23	211	4202
24	219	4168
25	228	4169
26	236	4141
27	243	4106
28	252	4106
29	262	4116
30	271	4110
31	281	4120
32	290	4112
33	298	4086
34	306	4074
35	315	4064
36	321	4021
37	327	3980
38	333	3941
39	339	3904
40	348	3906
41	361	3938
42	369	3931
43	377	3912
44	387	3916
45	396	3912
46	405	3906
47	414	3904
48	423	3895
49	433	3898
50	442	3895
51	450	3882
52	459	3875
53	468	3873
54	478	3868
55	487	3865
56	496	3861
57	509	3883
58	523	3909
59	529	3882
60	536	3862
61	543	3836
62	550	3817
63	556	3792
64	563	3769
65	570	3753
66	581	3757
67	590	3750
68	609	3807
69	621	3815
70	632	3823
71	643	3822
72	651	3813
73	659	3797
74	667	3779
75	673	3756
76	680	3738
77	690	3733
78	698	3723
79	707	3716
80	716	3707
81	726	3704
82	735	3694
83	744	3686
84	753	3677
85	762	3669
86	773	3671
87	783	3667
88	792	3661
89	802	3656
90	813	3656
91	822	3649
92	831	3639
93	840	3630
94	849	3621
95	858	3613
96	867	3605
97	875	3593
98	884	3584
99	892	3570
100	901	3562
101	910	3552
102	920	3546
103	929	3537
104	938	3531
105	948	3526
106	956	3512
107	962	3494
108	969	3477
109	975	3459
110	982	3442
111	988	3425
112	994	3405
113	1002	3395
114	1009	3380
115	1017	3368
116	1024	3354
117	1035	3351
118	1042	3338
119	1054	3337
120	1064	3334
121	1073	3326
122	1084	3323
123	1094	3319
124	1104	3312
125	1113	3306
126	1123	3299
127	1134	3296
128	1143	3289
129	1153	3283
130	1162	3274
131	1171	3266
132	1180	3257
133	1189	3250
134	1199	3242
135	1206	3230
136	1215	3219
137	1225	3215
138	1235	3207
139	1244	3200
140	1253	3192
141	1263	3185
142	1270	3172
143	1278	3159
144	1284	3144
145	1290	3129
146	1296	3113
